Date,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
7/13/2017,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,INGLESIDE,NONE,GUERRERO ST / DUNCAN ST,-122.4223131,37.74637742
7/13/2017,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,NORTHERN,NONE,GEARY BL / LAGUNA ST,-122.4279912,37.78495312
7/13/2017,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,CENTRAL,NONE,UNION ST / STOCKTON ST,-122.4091939,37.80044388
7/13/2017,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,BAYVIEW,"ARREST, BOOKED",0 Block of CAMERON WY,-122.3858792,37.72028698
7/13/2017,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,CENTRAL,NONE,300 Block of BAY ST,-122.4128038,37.80577399
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,NORTHERN,NONE,800 Block of VANNESS AV,-122.4208147,37.78362787
7/13/2017,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,PARK,NONE,DIVISADERO ST / HAIGHT ST,-122.4370485,37.77126782
7/13/2017,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,TARAVAL,NONE,LAKE MERCED BL / SUNSET BL,-122.4934685,37.72959507
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Thursday,MISSION,NONE,2200 Block of MISSION ST,-122.4192122,37.76102442
7/13/2017,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,NORTHERN,NONE,1100 Block of FILLMORE ST,-122.4321162,37.78003044
7/13/2017,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Thursday,CENTRAL,NONE,800 Block of BATTERY ST,-122.4010792,37.79907343
7/13/2017,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Thursday,TENDERLOIN,"ARREST, BOOKED",0 Block of OFARRELL ST,-122.4058954,37.78673422
7/13/2017,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,INGLESIDE,NONE,100 Block of ENCLINE CT,-122.4484617,37.74178049
7/13/2017,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,MISSION,NONE,UTAH ST / 24TH ST,-122.4053332,37.75306449
7/13/2017,NON-CRIMINAL,LOST PROPERTY,Thursday,MISSION,NONE,26TH ST / CHURCH ST,-122.4271247,37.74849637
7/13/2017,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,TARAVAL,NONE,500 Block of WILDWOOD WY,-122.4613633,37.72752094
7/13/2017,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,CENTRAL,"ARREST, BOOKED",BAY ST / POWELL ST,-122.4119531,37.80582429
7/13/2017,ASSAULT,BATTERY WITH SERIOUS INJURIES,Thursday,SOUTHERN,NONE,1000 Block of FOLSOM ST,-122.4071054,37.77725053
7/13/2017,PROSTITUTION,HUMAN TRAFFICKING,Thursday,NORTHERN,NONE,HAYES ST / STEINER ST,-122.4328328,37.77562497
7/13/2017,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,TENDERLOIN,"ARREST, BOOKED",TURK ST / HYDE ST,-122.4156949,37.7825852
7/13/2017,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,MISSION,NONE,2300 Block of FOLSOM ST,-122.4146955,37.75968618
7/13/2017,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,SOUTHERN,NONE,100 Block of VALENCIA ST,-122.422513,37.77071077
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE,BRYANT ST / 10TH ST,-122.4097388,37.7703482
7/13/2017,TRESPASS,LODGING WITHOUT PERMISSION,Thursday,BAYVIEW,NONE,CUSTER AV / QUINT ST,-122.3891971,37.74529779
7/13/2017,OTHER OFFENSES,RESISTING ARREST,Thursday,MISSION,"ARREST, CITED",1000 Block of POTRERO AV,-122.4065391,37.75648641
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,TENDERLOIN,NONE,200 Block of MCALLISTER ST,-122.4165778,37.78061488
7/13/2017,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,MISSION,NONE,2300 Block of FOLSOM ST,-122.4146955,37.75968618
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,NORTHERN,NONE,GOUGH ST / JACKSON ST,-122.4263374,37.79351756
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM PERSON,Thursday,MISSION,NONE,500 Block of ALABAMA ST,-122.4120416,37.76227146
7/13/2017,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Thursday,CENTRAL,"ARREST, BOOKED",BAY ST / POWELL ST,-122.4119531,37.80582429
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Thursday,NORTHERN,NONE,700 Block of LARKIN ST,-122.417688,37.78448176
7/13/2017,OTHER OFFENSES,VIOLATION OF EMERGENCY PROTECTIVE ORDER,Thursday,SOUTHERN,"ARREST, BOOKED",300 Block of BERRY ST,-122.3966614,37.77309561
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,CENTRAL,NONE,0 Block of BAY ST,-122.4064296,37.80656886
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,NORTHERN,NONE,GEARY BL / STEINER ST,-122.4345637,37.78415049
7/13/2017,NON-CRIMINAL,FOUND PROPERTY,Thursday,TARAVAL,NONE,1500 Block of 19TH AV,-122.4768911,37.75887747
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Thursday,MISSION,NONE,GUERRERO ST / 18TH ST,-122.423803,37.76156559
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE,800 Block of HARRISON ST,-122.4007999,37.77993387
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,CENTRAL,NONE,WASHINGTON ST / HYDE ST,-122.4179404,37.79368191
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,TARAVAL,NONE,500 Block of JOHNMUIR DR,-122.492068,37.71436155
7/13/2017,LARCENY/THEFT,ATTEMPTED PETTY THEFT OF PROPERTY,Thursday,PARK,"ARREST, BOOKED",800 Block of COLE ST,-122.4501184,37.76624695
7/13/2017,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Thursday,TENDERLOIN,"ARREST, BOOKED",TURK ST / HYDE ST,-122.4156949,37.7825852
7/13/2017,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Thursday,SOUTHERN,"ARREST, BOOKED",1200 Block of MARKET ST,-122.4154442,37.77802457
7/13/2017,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,NORTHERN,"ARREST, BOOKED",600 Block of POLK ST,-122.419021,37.78265298
7/13/2017,NON-CRIMINAL,LOST PROPERTY,Thursday,CENTRAL,NONE,0 Block of CALIFORNIA ST,-122.3970103,37.79364042
7/13/2017,TRESPASS,TRESPASSING,Thursday,MISSION,"ARREST, CITED",1000 Block of POTRERO AV,-122.4065391,37.75648641
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,CENTRAL,NONE,HYDE ST / GEARY ST,-122.4164521,37.78630869
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.4034048,37.77542071
7/13/2017,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,SOUTHERN,"ARREST, BOOKED",100 Block of FREMONT ST,-122.395369,37.78948633
7/13/2017,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,SOUTHERN,NONE,FOLSOM ST / 13TH ST,-122.4155778,37.76959145
7/13/2017,FRAUD,"CREDIT CARD, INCOMPLETE OR COUNTERFEIT",Thursday,TENDERLOIN,"ARREST, BOOKED",500 Block of EDDY ST,-122.4167107,37.78335704
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,RICHMOND,NONE,1000 Block of POINTLOBOS AV,-122.5136421,37.77846922
7/13/2017,NON-CRIMINAL,LOST PROPERTY,Thursday,SOUTHERN,NONE,BRANNAN ST / 2ND ST,-122.3920823,37.78184577
7/13/2017,ASSAULT,BATTERY,Thursday,PARK,"ARREST, BOOKED",800 Block of COLE ST,-122.4501184,37.76624695
7/13/2017,NON-CRIMINAL,FOUND PROPERTY,Thursday,MISSION,NONE,18TH ST / SANCHEZ ST,-122.4305741,37.76115546
7/13/2017,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,SOUTHERN,NONE,0 Block of 6TH ST,-122.4100416,37.78195365
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,MISSION,NONE,TREAT AV / 22ND ST,-122.4132977,37.75576479
7/13/2017,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,NORTHERN,NONE,STEINER ST / DUBOCE AV,-122.4315714,37.76930574
7/13/2017,LARCENY/THEFT,PETTY THEFT BICYCLE,Thursday,SOUTHERN,NONE,100 Block of VALENCIA ST,-122.422375,37.7707189
7/13/2017,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4034048,37.77542071
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,RICHMOND,NONE,PINE ST / DIVISADERO ST,-122.4402516,37.7871116
7/13/2017,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,MISSION,"ARREST, BOOKED",900 Block of POTRERO AV,-122.4068704,37.75728959
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,PARK,NONE,LINCOLN WY / 7TH AV,-122.4642997,37.7660152
7/13/2017,SECONDARY CODES,DOMESTIC VIOLENCE,Thursday,SOUTHERN,"ARREST, BOOKED",300 Block of BERRY ST,-122.3966614,37.77309561
7/13/2017,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Thursday,SOUTHERN,NONE,MARKET ST / SPEAR ST,-122.3956301,37.79378997
7/13/2017,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,MISSION,NONE,3400 Block of 19TH ST,-122.4210583,37.76006838
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,CENTRAL,NONE,GEARY ST / LARKIN ST,-122.4180908,37.78610075
7/13/2017,WEAPON LAWS,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN,Thursday,SOUTHERN,"ARREST, BOOKED",NATOMA ST / MARY ST,-122.4062516,37.78130712
7/13/2017,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Thursday,NORTHERN,"ARREST, BOOKED",1400 Block of SUTTER ST,-122.4242301,37.78717856
7/13/2017,WARRANTS,WARRANT ARREST,Thursday,MISSION,"ARREST, BOOKED",2700 Block of 16TH ST,-122.4142227,37.76532509
7/13/2017,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,SOUTHERN,NONE,1400 Block of MARKET ST,-122.4184806,37.77589845
7/13/2017,OTHER OFFENSES,FALSE PERSONATION,Thursday,NORTHERN,"ARREST, BOOKED",1400 Block of SUTTER ST,-122.4242301,37.78717856
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,PARK,NONE,HAIGHT ST / CENTRAL AV,-122.4436499,37.77042573
7/13/2017,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,PARK,"ARREST, BOOKED",900 Block of BUENAVISTAWEST AV,-122.4432416,37.76999411
7/13/2017,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,BAYVIEW,NONE,100 Block of KISKA RD,-122.3759892,37.73015769
7/13/2017,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,CENTRAL,"ARREST, BOOKED",600 Block of PACIFIC AV,-122.4054045,37.79702301
7/13/2017,VEHICLE THEFT,STOLEN TRUCK,Thursday,MISSION,NONE,21ST ST / HARRISON ST,-122.4123511,37.75743105
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,RICHMOND,NONE,1000 Block of POINTLOBOS AV,-122.5136421,37.77846922
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,RICHMOND,NONE,1000 Block of POINTLOBOS AV,-122.5136421,37.77846922
7/13/2017,MISSING PERSON,FOUND PERSON,Thursday,NORTHERN,"ARREST, BOOKED",1400 Block of SUTTER ST,-122.4242301,37.78717856
7/13/2017,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,PARK,NONE,HAYES ST / PIERCE ST,-122.4344851,37.77541657
7/13/2017,DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Thursday,SOUTHERN,"ARREST, BOOKED",NATOMA ST / MARY ST,-122.4062516,37.78130712
7/13/2017,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Thursday,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.406521,37.78506294
7/13/2017,LARCENY/THEFT,GRAND THEFT COIN OPERATED MACHINE,Thursday,SOUTHERN,NONE,HOWARD ST / RUSS ST,-122.4082757,37.77885985
7/13/2017,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,CENTRAL,NONE,2500 Block of TAYLOR ST,-122.4154067,37.80588036
7/13/2017,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Thursday,TARAVAL,NONE,2200 Block of 18TH AV,-122.4747502,37.74588068
7/13/2017,ARSON,ARSON,Thursday,RICHMOND,NONE,0 Block of MASONIC AV,-122.4477005,37.78174296
7/13/2017,ASSAULT,BATTERY,Thursday,SOUTHERN,NONE,200 Block of 2ND ST,-122.3979117,37.78658162
7/13/2017,ROBBERY,"ROBBERY, BODILY FORCE",Thursday,CENTRAL,NONE,500 Block of GEARY ST,-122.4119339,37.78683073
7/13/2017,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,BAYVIEW,NONE,0 Block of SCOTIA AV,-122.4013036,37.73369789
7/13/2017,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,INGLESIDE,NONE,100 Block of MONTEREY BL,-122.4385948,37.73148178
7/13/2017,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,MISSION,NONE,800 Block of CHURCH ST,-122.4278616,37.75689741
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,RICHMOND,NONE,3300 Block of BALBOA ST,-122.4946457,37.77578241
7/13/2017,WARRANTS,WARRANT ARREST,Thursday,TENDERLOIN,"ARREST, BOOKED",500 Block of EDDY ST,-122.4167107,37.78335704
7/13/2017,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Thursday,SOUTHERN,NONE,200 Block of 2ND ST,-122.3979117,37.78658162
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,BAYVIEW,NONE,2000 Block of MCKINNON AV,-122.3976193,37.74066494
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,BAYVIEW,NONE,900 Block of CAROLINA ST,-122.3999304,37.75595687
7/13/2017,SUSPICIOUS OCC,SUSPICIOUS ACT TOWARDS FEMALE,Thursday,BAYVIEW,NONE,1700 Block of MARIPOSA ST,-122.4010006,37.76353498
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,NORTHERN,NONE,OAK ST / FILLMORE ST,-122.4308276,37.77397122
7/13/2017,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Thursday,MISSION,"ARREST, BOOKED",20TH ST / CAPP ST,-122.4179645,37.75869682
7/13/2017,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Thursday,TENDERLOIN,"ARREST, BOOKED",OFARRELL ST / TAYLOR ST,-122.4113284,37.78599631
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,RICHMOND,NONE,400 Block of 6TH AV,-122.4642799,37.7800333
7/13/2017,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,MISSION,NONE,800 Block of CAPP ST,-122.4174994,37.75308467
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,MISSION,NONE,FOUNTAIN ST / 25TH ST,-122.4415387,37.74922945
7/13/2017,ASSAULT,BATTERY,Thursday,TENDERLOIN,NONE,500 Block of OFARRELL ST,-122.4138201,37.7857383
7/13/2017,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Thursday,CENTRAL,"ARREST, BOOKED",1100 Block of JACKSON ST,-122.4140334,37.7951452
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE,BRYANT ST / DORE ST,-122.4091384,37.77081941
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,NORTHERN,NONE,WEBSTER ST / TURK ST,-122.430425,37.78071601
7/13/2017,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,SOUTHERN,"ARREST, BOOKED",100 Block of FREMONT ST,-122.395369,37.78948633
7/13/2017,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Thursday,NORTHERN,NONE,100 Block of GOUGH ST,-122.4223863,37.77432673
7/13/2017,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,NORTHERN,NONE,CHESTNUT ST / PIERCE ST,-122.4395049,37.80040249
7/13/2017,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,SOUTHERN,NONE,900 Block of MARKET ST,-122.4097084,37.78282765
7/13/2017,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,SOUTHERN,NONE,500 Block of MISSION ST,-122.3983912,37.78904031
7/13/2017,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,SOUTHERN,NONE,700 Block of HOWARD ST,-122.4016587,37.78416669
7/13/2017,NON-CRIMINAL,FOUND PROPERTY,Thursday,SOUTHERN,NONE,200 Block of INTERSTATE80 HY,-122.3655654,37.8096707
7/13/2017,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Thursday,INGLESIDE,NONE,200 Block of EDINBURGH ST,-122.4291378,37.72513528
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,NORTHERN,NONE,OFARRELL ST / VANNESS AV,-122.4211952,37.78475366
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,PARK,NONE,600 Block of SHRADER ST,-122.4518373,37.76889439
7/13/2017,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,RICHMOND,NONE,400 Block of 6TH AV,-122.4642799,37.7800333
7/13/2017,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Thursday,NORTHERN,"ARREST, BOOKED",1400 Block of SUTTER ST,-122.4242301,37.78717856
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,NORTHERN,NONE,CALIFORNIA ST / FRANKLIN ST,-122.4239762,37.79016093
7/13/2017,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,NORTHERN,NONE,400 Block of HAYES ST,-122.4237716,37.77683789
7/13/2017,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,MISSION,NONE,2000 Block of MARKET ST,-122.4269556,37.76924706
7/13/2017,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,CENTRAL,NONE,900 Block of JACKSON ST,-122.4105011,37.79559615
7/13/2017,NON-CRIMINAL,LOST PROPERTY,Thursday,TENDERLOIN,NONE,TURK ST / HYDE ST,-122.4156949,37.7825852
7/13/2017,OTHER OFFENSES,PROBATION VIOLATION,Thursday,NORTHERN,"ARREST, BOOKED",1400 Block of SUTTER ST,-122.4242301,37.78717856
7/13/2017,OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,MISSION,"ARREST, BOOKED",20TH ST / CAPP ST,-122.4179645,37.75869682
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,CENTRAL,NONE,1300 Block of BATTERY ST,-122.4020051,37.8036871
7/13/2017,ASSAULT,BATTERY OF A POLICE OFFICER,Thursday,INGLESIDE,"ARREST, BOOKED",0 Block of PHELAN AV,-122.4522897,37.72569336
7/13/2017,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,SOUTHERN,NONE,KING ST / 2ND ST,-122.3895953,37.7798612
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE,9TH ST / FOLSOM ST,-122.4116124,37.77376796
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,NORTHERN,NONE,300 Block of HAIGHT ST,-122.428007,37.77247261
7/13/2017,LARCENY/THEFT,PETTY THEFT AUTO STRIP,Thursday,RICHMOND,NONE,ANZA ST / ROSSI AV,-122.4564971,37.77969288
7/13/2017,STOLEN PROPERTY,"STOLEN PROPERTY, POSSESSION WITH KNOWLEDGE, RECEIVING",Thursday,CENTRAL,"ARREST, BOOKED",1100 Block of JACKSON ST,-122.4140334,37.7951452
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,BAYVIEW,NONE,1400 Block of BANCROFT AV,-122.3899662,37.72406763
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,CENTRAL,NONE,600 Block of CALIFORNIA ST,-122.4050258,37.79250834
7/13/2017,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,CENTRAL,NONE,2500 Block of TAYLOR ST,-122.41527,37.80589801
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Thursday,INGLESIDE,NONE,GUERRERO ST / DUNCAN ST,-122.4223131,37.74637742
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,CENTRAL,NONE,1200 Block of FILBERT ST,-122.4200665,37.79997249
7/13/2017,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Thursday,SOUTHERN,NONE,MARKET ST / SPEAR ST,-122.3956301,37.79378997
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Thursday,SOUTHERN,NONE,10TH ST / HOWARD ST,-122.4143706,37.77404184
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,CENTRAL,NONE,500 Block of BEACH ST,-122.4181111,37.80702
7/13/2017,ASSAULT,BATTERY,Thursday,SOUTHERN,NONE,900 Block of HOWARD ST,-122.4065085,37.78033132
7/13/2017,ASSAULT,BATTERY,Thursday,CENTRAL,NONE,GEARY ST / HYDE ST,-122.4164521,37.78630869
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM PERSON,Thursday,MISSION,NONE,13TH ST / SOUTH VAN NESS AV,-122.4177567,37.76981424
7/13/2017,OTHER OFFENSES,RESISTING ARREST,Thursday,INGLESIDE,"ARREST, BOOKED",0 Block of PHELAN AV,-122.4522897,37.72569336
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,RICHMOND,NONE,300 Block of 7TH AV,-122.4653522,37.78191292
7/13/2017,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,PARK,NONE,900 Block of HAIGHT ST,-122.4378824,37.7711057
7/13/2017,NON-CRIMINAL,LOST PROPERTY,Thursday,RICHMOND,NONE,34TH AV / GEARY BL,-122.4943794,37.7796487
7/13/2017,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,CENTRAL,NONE,CHESTNUT ST / SANSOME ST,-122.4035321,37.80496889
7/13/2017,TRESPASS,TRESPASSING,Thursday,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.406521,37.78506294
7/13/2017,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,INGLESIDE,"ARREST, BOOKED",0 Block of PHELAN AV,-122.4522897,37.72569336
7/13/2017,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,RICHMOND,"ARREST, BOOKED",1800 Block of CLEMENT ST,-122.478986,37.78222927
7/13/2017,NON-CRIMINAL,FOUND PROPERTY,Thursday,BAYVIEW,NONE,800 Block of PENNSYLVANIA AV,-122.3930712,37.75635702
7/13/2017,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,BAYVIEW,"ARREST, BOOKED",SHAFTER AV / 3RD ST,-122.3918003,37.73164506
7/13/2017,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,NORTHERN,NONE,700 Block of LARKIN ST,-122.4178246,37.78446378
7/13/2017,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Thursday,SOUTHERN,NONE,MARKET ST / SPEAR ST,-122.3956301,37.79378997
7/13/2017,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,SOUTHERN,NONE,5TH ST / MARKET ST,-122.4080683,37.78399168
7/13/2017,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,CENTRAL,NONE,1300 Block of POWELL ST,-122.4101875,37.79669748
7/13/2017,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,SOUTHERN,NONE,800 Block of HOWARD ST,-122.4037933,37.78232359
7/13/2017,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Thursday,TENDERLOIN,NONE,400 Block of JONES ST,-122.4127588,37.7850961
7/13/2017,NON-CRIMINAL,AIDED CASE,Thursday,BAYVIEW,NONE,3RD ST / WALLACE AV,-122.3928993,37.72849042
7/13/2017,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Thursday,MISSION,NONE,3300 Block of CESAR CHAVEZ ST,-122.4170594,37.74807789
7/13/2017,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Thursday,TENDERLOIN,NONE,300 Block of EDDY ST,-122.4129305,37.78383444
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,BAYVIEW,NONE,22ND ST / ILLINOIS ST,-122.3873163,37.75800217
7/13/2017,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,NORTHERN,"ARREST, BOOKED",1400 Block of SUTTER ST,-122.4242301,37.78717856
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,CENTRAL,NONE,JEFFERSON ST / POWELL ST,-122.4125272,37.80862506
7/13/2017,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,NORTHERN,NONE,1300 Block of WEBSTER ST,-122.4307515,37.7830652
7/13/2017,OTHER OFFENSES,RESISTING ARREST,Thursday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.4034048,37.77542071
7/13/2017,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,BAYVIEW,NONE,3RD ST / ARMSTRONG AV,-122.3935733,37.72697977
7/13/2017,BURGLARY,"BURGLARY OF WAREHOUSE, UNLAWFUL ENTRY",Thursday,BAYVIEW,NONE,100 Block of CAROLINA ST,-122.400746,37.76683108
